Column A,Column B
"目前世界人口总数
",8.029.829.481
"今年出生的人数
",42.740.166
"今天出生的人数
",156.993
"今年死亡的人数
",21.402.273
"今天死亡的人数
",78.615
"今年增加的人数
",21.337.893
"今天全世界政府的医疗支出总额（美元）
",7.057.632.550
"今天全世界政府的教育支出总额（美元）
",4.728.183.769
"今天全世界政府的军事支出总额（美元）
",2.029.373.978
"今年汽车产量
",21.607.484
"今年自行车产量
",44.543.807
"今年电子计算机销售量

",112.470.574
"今年出版书目总量

",885.673
"今天报刊发行总量

",198.432.271
"今天电视机销售量

",288.004
"今天手机销售量

",3.130.615
"今天电子游戏消费额（美元）

",135.597.862
"世界网络用户总数

",5.698.621.347
"今天发出的电子邮件数

",125.419.641.965
"今天上传的博客数

",4.089.761
"今天发出的推特数

",389.336.752
"今天谷歌搜索次数

",4.174.910.304
"今年被砍伐森林面积（公顷）

",1.658.787
"今年由于水土流失而损失的耕地面积（公顷）

",2.233.176
"今年二氧化碳排放量（吨）


",11.646.440.756
"今年沙漠化的土地面积（公顷）

",3.827.583
"今年工业上被排放进入生态环境的有毒化学品（吨）

",3.123.428
"目前世界上营养不良的人数

",869.228.993
"目前世界上肥胖的人数

",1.743.338.015
"目前世界上过度肥胖的人数

",833.837.970
"今天死于饥饿的人数

",13.102
"今天美国用于治疗过度肥胖引起的疾病的支出

",274.996.688
"今天美国用于减肥的支出

",80.994.273
"今年消耗的水量（十亿升）

",5.345.272
"今年因水源相关的疾病而致死的人数

",268.585
"目前无法获取安全饮用水的人数
",773.470.588
"今天世界范围内使用的能量（兆瓦时），其中

",199.973.086
来自不可再生能源(兆瓦时),170.228.383
来自可再生能源(兆瓦时),30.114.203
"今天地球上接收到的太阳能（兆瓦时）

",1.253.041.297.062
"今天开采的石油（桶）

",41.014.436
"剩余石油储量（桶）

",1.405.543.657.342
"离石油耗尽的天数

",14.658
"剩余天然气储量（油气当量）

",1.075.462.206.969
"离天然气耗尽的天数

",56.603
"剩余煤炭储量（油气当量）

",4.285.360.461.552
"离煤炭耗尽的天数

",147.771
"今年由于传染病而造成的死亡人数

",4.140.428
"今年五岁以下儿童死亡人数

",2.424.303
"今年堕胎数

",14.205.124
"今年生育过程中母亲死亡人数

",44.506.795
"感染艾滋病的人数

",536.163
"今年由艾滋病致死的人数

",2.619.455
"今年由癌症致死的人数

",125.772
"今年由疟疾致死的人数

",6.485.232.120
"今天香烟消耗量

",1.594.407
"今年由吸烟而造成的死亡人数

",797.706
"今年由酗酒而造成的死亡人数

",342.018
"今年自杀人数

",127.592.794.664
"今年全世界在非法药物上的花费

",430.54